# golden-reach ledger — golden-only tier, one scoped run per golden test, measured at commit e857ec1b00e3 over 183 golden tests
rank	key	region	unreached_sites	unreached_regions	regions	witnesses	outside	sites	note
1	ref-pointer-composition-index	schemas	2	29	52	dnd5eapi.co	-	src/ir.rs::ref_to_class[while index < parts.len\(\) \{]=16/19 ; src/ir.rs::resolve_schema_pointer[^\s*"allOf" => \{]=7/11 ; src/ir.rs::resolve_schema_pointer[^\s*"oneOf" => \{]=0/11 ; src/ir.rs::resolve_schema_pointer[^\s*"anyOf" => \{]=0/11	-
2	anyof-discriminated-union	schemas	2	14	270	apideck.com-accounting,braintrust-dev,deepsearch-ds-v2,letta,paypal-catalog-products,truefoundry-trueforge,truefoundry-trueforge-5adde28	github.com	src/ir.rs::Builder::discriminated_union=177/183 ; src/ir.rs::Builder::discriminated_union[if schema.discriminator.is_some\(\) && schema.one_of.is_none\(\) \{]=0/1 ; src/ir.rs::InlineHoister::hoist_discriminated_union=23/24 ; src/ir.rs::inferred_union_discriminant_property=54/55 ; src/ir.rs::Builder::nested_array_element[^\s*\) \{$]=0/5 ; src/ir.rs::InlineHoister::hoist_union_variant[^ {20}\) \{$]=1/1 ; src/ir.rs::InlineHoister::prop_type_ref[^ {16}\) \{$]=1/1	-
3	x-fern-or-crozier-ignore	oas31-extensions	2	11	24	truefoundry-trueforge,truefoundry-trueforge-5adde28	-	src/openapi.rs::Operation::ignored=6/6 ; src/openapi.rs::Schema::ignored=6/6 ; src/openapi.rs::filter_ignored[for key in &ignored_schemas \{]=0/10 ; src/openapi.rs::filter_ignored[if slot\.as_ref\(\)\.is_some_and\(\x7cop\x7c op\.ignored\(\)\) \{]=1/1 ; src/openapi.rs::filter_ignored[if ignored_schemas\.contains\(key\) \{]=0/1	`filter_ignored`'s early return is the absence arm, taken by a document that ignores nothing
4	anyof-anyof-variant	schemas	1	51	51	fergus	-	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = variant\.one_of\.as_ref\(\)\.or\(variant\.any_of\.as_ref\(\)\) \{]=0/51	-
5	anyof-oneof-variant	schemas	1	51	51	letta,osparc-simcore-webserver,volview-backend-contract	-	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(members\) = variant\.one_of\.as_ref\(\)\.or\(variant\.any_of\.as_ref\(\)\) \{]=0/51	-
6	ref-pointer-undeclared-component-head	schemas	1	50	50	alma-france,billie,billie-entry,nextgen,outreach,skool,skool-entry,spendesk,tally,thrivecart	-	src/ir.rs::resolve_schema_pointer[let mut schema = schemas\.get\(parts\.next\(\)\?\)\?]=0/50	-
7	anyof-sole-member	schemas	1	33	47	paypal-catalog-products	-	src/ir.rs::InlineHoister::hoist_array_item_type[if members.len\(\) == 1 && is_inline_struct]=0/6 ; src/openapi.rs::collapse_sole_composition_member=14/41	`InlineHoister::prop_type_ref`'s inline-struct sole-member arm is the `gap` row `property-sole-anyof-struct-member`'s
8	items-oneof-element	schemas	1	23	87	discord-com,dnd5eapi.co,eozilla,letta,listennotes,maif.local-otoroshi,mindee-ocr,osparc-simcore-webserver,portfoliooptimizer.io,volview-backend-contract,webflow-v2,worldcoin-signup-sequencer,zulip,zulip-jentic,zulip-jentic-entry	bbci.co.uk,box.com,github.com	src/ir.rs::Builder::nested_array_element[if let Some\(members\) = items.one_of]=0/21 ; src/ir.rs::InlineHoister::hoist_array_item_type[if let Some\(members\) = item_schema.one_of]=64/66	-
9	anyof-string-const-variant	schemas	1	22	75	letta,osparc-simcore-webserver	-	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(values\) = string_enum_values\(variant\) \{]=0/15 ; src/ir.rs::Builder::variant_ref[if let Some\(values\) = string_enum_values\(variant\) \{]=15/15 ; src/ir.rs::string_enum_values=38/45	-
10	oneof-string-const-variant	schemas	1	22	75	discord-com,helixdb-http-api	-	src/ir.rs::InlineHoister::hoist_union_variant[if let Some\(values\) = string_enum_values\(variant\) \{]=0/15 ; src/ir.rs::Builder::variant_ref[if let Some\(values\) = string_enum_values\(variant\) \{]=15/15 ; src/ir.rs::string_enum_values=38/45	-
11	annotated-ref-shape	schemas	1	17	113	amazonaws.com-cloudformation,amazonaws.com-cloudfront,braintrust-dev,groupe-psa,paloalto-cspm-alerts,paloalto-cspm-reports,paloalto-cspm-search-manager,truefoundry-trueforge,truefoundry-trueforge-5adde28,zulip,zulip-jentic,zulip-jentic-entry	asana.com,box.com	src/ir.rs::described_all_of_ref=33/33 ; src/ir.rs::InlineHoister::prop_type_ref[^ {8}\{$]=47/49 ; src/ir.rs::InlineHoister::hoist_union_variant[^ {16}\{$]=0/14 ; src/ir.rs::Builder::annotated_ref_type=16/17	-
12	anyof-array-variant-annotated-ref-item	schemas	1	16	35	braintrust-dev	-	src/ir.rs::InlineHoister::hoist_union_variant[^ {16}\{$]=0/14 ; src/ir.rs::InlineHoister::hoist_named_copy=19/21	-
13	anyof-array-variant-closed-object-item	schemas	1	16	31	cradl	-	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{]=0/13 ; src/ir.rs::is_inline_struct=15/18	-
14	anyof-array-variant-composed-item	schemas	1	15	31	braintrust-dev	-	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{]=0/13 ; src/ir.rs::is_inline_struct=16/18	-
15	oneof-array-variant-closed-object-item	schemas	1	15	31	zulip,zulip-jentic,zulip-jentic-entry	-	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{]=0/13 ; src/ir.rs::is_inline_struct=16/18	-
16	array-item-oneof-discriminated-union	schemas	1	14	188	discord-com,dnd5eapi.co,letta,osparc-simcore-webserver,volview-backend-contract,webflow-v2	-	src/ir.rs::Builder::nested_array_element[^\s*\) \{$]=0/5 ; src/ir.rs::Builder::discriminated_union=174/183	-
17	oneof-discriminated-union	schemas	1	13	269	braintrust-dev,cradl,deepsearch-ds-v2,discord-com,discriminated-unions,dnd5eapi.co,helixdb-http-api,komga,letta,microcks.local,nexmo-messages,openepcis-dpp-ready,openintegrationhub-secret-service,osparc-simcore-webserver,paloalto-cspm-alerts,paloalto-cspm-reports,paloalto-cspm-search-manager,recursive-types,tally,tlon-notes,truefoundry-trueforge,truefoundry-trueforge-5adde28,volview-backend-contract,webflow-v2	atlassian.com-jira	src/ir.rs::Builder::discriminated_union=177/183 ; src/ir.rs::InlineHoister::hoist_discriminated_union=23/24 ; src/ir.rs::inferred_union_discriminant_property=54/55 ; src/ir.rs::Builder::nested_array_element[^\s*\) \{$]=0/5 ; src/ir.rs::InlineHoister::hoist_union_variant[^ {20}\) \{$]=1/1 ; src/ir.rs::InlineHoister::prop_type_ref[^ {16}\) \{$]=1/1	-
18	anyof-allof-variant	schemas	1	12	48	braintrust-dev	-	src/ir.rs::InlineHoister::hoist_union_variant[^ {8}\{$]=0/11 ; src/ir.rs::Builder::variant_ref[if described_all_of_ref\(variant\)\.is_some\(\) \{]=11/12 ; src/ir.rs::Builder::variant_ref[if is_inline_object\(variant\) \x7c\x7c is_declared_empty_object\(variant\) \{]=18/18 ; src/ir.rs::is_inline_object=7/7	-
