key	kind	subject	result	file
annotated-ref-target-closed-object	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
annotated-ref-target-composed	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
annotated-ref-target-oneof	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
annotated-ref-target-string-const	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
anyof-array-variant-anyof-nullable-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
anyof-array-variant-closed-object-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
anyof-array-variant-empty-object-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
anyof-array-variant-oneof-nullable-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
anyof-array-variant-struct-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
array-item-inheritance-union	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
array-item-pointer-walk-anyof	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
array-item-pointer-walk-oneof	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
oauth2-password	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
oneof-array-variant-annotated-ref-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
oneof-array-variant-anyof-discriminated-union-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
oneof-array-variant-anyof-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
oneof-array-variant-anyof-nullable-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
oneof-array-variant-closed-object-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
oneof-array-variant-composed-item	walk	Adyen/adyen-openapi@f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	258	documents.jsonl
